  370 runs 1533-49247: A=1533, S=17, W=47697, F=49247, T=47714
  371 runs 1537-1543: A=1537, S=5, W=1, F=1543, T=6
  372 runs 1540-1585: A=1540, S=3, W=42, F=1585, T=45
  373 runs 1541-1593: A=1541, S=8, W=44, F=1593, T=52
  374 runs 1543-1548: A=1543, S=5, W=0, F=1548, T=5
  375 runs 1544-1555: A=1544, S=7, W=4, F=1555, T=11
  376 runs 1549-1564: A=1549, S=4, W=11, F=1564, T=15
  377 runs 1552-1558: A=1552, S=3, W=3, F=1558, T=6
  378 runs 1554-1568: A=1554, S=4, W=10, F=1568, T=14
  379 runs 1558-1560: A=1558, S=2, W=0, F=1560, T=2
  380 runs 1564-1579: A=1564, S=6, W=9, F=1579, T=15
  381 runs 1568-1573: A=1568, S=5, W=0, F=1573, T=5
  382 runs 1576-1581: A=1576, S=2, W=3, F=1581, T=5
  383 runs 1581-1582: A=1581, S=1, W=0, F=1582, T=1
  384 runs 1586-49213: A=1586, S=17, W=47610, F=49213, T=47627
  385 runs 1589-1596: A=1589, S=3, W=4, F=1596, T=7
  386 runs 1591-1604: A=1591, S=8, W=5, F=1604, T=13
  387 runs 1597-1622: A=1597, S=5, W=20, F=1622, T=25
  388 runs 1600-1614: A=1600, S=3, W=11, F=1614, T=14
  389 runs 1602-1633: A=1602, S=9, W=22, F=1633, T=31
  390 runs 1603-1606: A=1603, S=2, W=1, F=1606, T=3
  391 runs 1605-1611: A=1605, S=5, W=1, F=1611, T=6
  392 runs 1612-1617: A=1612, S=3, W=2, F=1617, T=5
  393 runs 1618-1624: A=1618, S=2, W=4, F=1624, T=6
  394 runs 1622-1648: A=1622, S=12, W=14, F=1648, T=26
  395 runs 1629-1636: A=1629, S=2, W=5, F=1636, T=7
  396 runs 1631-1634: A=1631, S=1, W=2, F=1634, T=3
  397 runs 1637-1863: A=1637, S=2, W=224, F=1863, T=226
  398 runs 1640-1852: A=1640, S=1, W=211, F=1852, T=212
  399 runs 1642-1874: A=1642, S=11, W=221, F=1874, T=232
  400 runs 1646-1650: A=1646, S=2, W=2, F=1650, T=4
  401 runs 1647-1657: A=1647, S=3, W=7, F=1657, T=10
  402 runs 1649-1652: A=1649, S=2, W=1, F=1652, T=3
  403 runs 1652-1654: A=1652, S=2, W=0, F=1654, T=2
  404 runs 1656-1663: A=1656, S=6, W=1, F=1663, T=7
  405 runs 1657-1702: A=1657, S=18, W=27, F=1702, T=45
  406 runs 1660-1683: A=1660, S=1, W=22, F=1683, T=23
  407 runs 1662-1808: A=1662, S=18, W=128, F=1808, T=146
  408 runs 1663-1667: A=1663, S=4, W=0, F=1667, T=4
  409 runs 1666-1673: A=1666, S=6, W=1, F=1673, T=7
  410 runs 1671-1679: A=1671, S=6, W=2, F=1679, T=8
  411 runs 1676-1682: A=1676, S=2, W=4, F=1682, T=6
  412 runs 1679-1680: A=1679, S=1, W=0, F=1680, T=1
  413 runs 1683-1684: A=1683, S=1, W=0, F=1684, T=1
  414 runs 1686-1769: A=1686, S=2, W=81, F=1769, T=83
  415 runs 1688-1779: A=1688, S=9, W=82, F=1779, T=91
  416 runs 1691-1709: A=1691, S=2, W=16, F=1709, T=18
  417 runs 1692-1726: A=1692, S=9, W=25, F=1726, T=34
  418 runs 1693-1707: A=1693, S=5, W=9, F=1707, T=14
  419 runs 1709-1711: A=1709, S=2, W=0, F=1711, T=2
  420 runs 1711-1716: A=1711, S=5, W=0, F=1716, T=5
  421 runs 1713-1745: A=1713, S=9, W=23, F=1745, T=32
  422 runs 1715-1717: A=1715, S=1, W=1, F=1717, T=2
  423 runs 1718-1727: A=1718, S=1, W=8, F=1727, T=9
  424 runs 1727-1732: A=1727, S=5, W=0, F=1732, T=5
  425 runs 1729-1736: A=1729, S=3, W=4, F=1736, T=7
  426 runs 1730-1733: A=1730, S=1, W=2, F=1733, T=3
  427 runs 1737-1754: A=1737, S=8, W=9, F=1754, T=17
  428 runs 1740-1746: A=1740, S=1, W=5, F=1746, T=6
  429 runs 1749-1757: A=1749, S=2, W=6, F=1757, T=8
  430 runs 1752-1755: A=1752, S=1, W=2, F=1755, T=3
  431 runs 1753-1767: A=1753, S=10, W=4, F=1767, T=14
  432 runs 1769-1770: A=1769, S=1, W=0, F=1770, T=1
  433 runs 1775-1786: A=1775, S=6, W=5, F=1786, T=11
  434 runs 1779-1780: A=1779, S=1, W=0, F=1780, T=1
